Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Konklak Suphisara;Angela Hill;loss;UFC Fight Night 168 - Felder vs. Hooker;Feb / 23 / 2020;Decision (Unanimous);John Sharp;3;5:00
Konklak Suphisara;Aleksandra Albu;win;UFC Fight Night 162 - Maia vs. Askren;Oct / 26 / 2019;Decision (Split);Daniel Movahedi;3;5:00
Konklak Suphisara;Monique Adriane;win;Invicta FC 35 - Bennett vs. Rodriguez;Jun / 07 / 2019;Decision (Unanimous);Nick Berens;3;5:00
Konklak Suphisara;Suwanan Boonsorn;loss;FMD - Full Metal Dojo 16: Big Trouble in Little Bangkok;Nov / 03 / 2018;Submission (Armbar);Adam Kayoom;1;2:06
Konklak Suphisara;Hana Yamada;win;Pancrase 298 - Araujo vs. Fujino;Aug / 05 / 2018;TKO (Punches);Masato Fukuda;2;4:32
Konklak Suphisara;Mellissa Wang;win;Invicta FC 27 - Kianzad vs. Kaufman;Jan / 13 / 2018;Decision (Unanimous);Greg Franklin;3;5:00
Veronica Macedo;Bea Malecki;loss;UFC Fight Night 170 - Lee vs. Oliveira;Mar / 14 / 2020;Decision (Unanimous);Mike Beltran;3;5:00
Veronica Macedo;Polyana Viana;win;UFC Fight Night 156 - Shevchenko vs. Carmouche 2;Aug / 10 / 2019;Submission (Armbar);Keith Peterson;1;1:09
Veronica Macedo;Gillian Robertson;loss;UFC Fight Night 145 - Blachowicz vs. Santos;Feb / 23 / 2019;Submission (Rear-Naked Choke);Jakub Muller;2;3:27
Veronica Macedo;Andrea Lee;loss;UFC Fight Night 129 - Maia vs. Usman;May / 19 / 2018;Decision (Unanimous);Camila Albuquerque;3;5:00
Veronica Macedo;Ashlee Evans-Smith;loss;UFC Fight Night 93 - Arlovski vs. Barnett;Sep / 03 / 2016;TKO (Elbows);Neil Hall;3;2:46
Veronica Macedo;Iren Racz;draw;Innferno 2 - Innferno Fighting Championship 2;Aug / 14 / 2016;Draw (Majority);Nebil Sebai;3;5:00
Veronica Macedo;Karine Gevorgyan;win;MFE - Mix Fight Events;Jul / 08 / 2016;Submission (Heel Hook);N/A;3;1:23
Veronica Macedo;Valerie Domergue;win;Hit-FC - Hit Fighting Championship 2;May / 28 / 2016;Decision (Unanimous);Stefan Ruegg;3;5:00
Veronica Macedo;Lilla Vincze;win;LFN 2 - Ladies Fight Night;Apr / 01 / 2016;TKO (Punches);Piotr Michalak;1;2:15
Veronica Macedo;Camilla Hinze;win;Trophy MMA 8 - Easter Bash 2;Mar / 26 / 2016;Decision (Majority);Robert Sundel;3;5:00
Veronica Macedo;Anne Merkt;win;WLMMA - We Love MMA 20;Mar / 12 / 2016;Decision (Split);Andreas Stockman;3;5:00
Jennifer Maia;Katlyn Chookagian;loss;UFC 244 - Masvidal vs. Diaz;Nov / 02 / 2019;Decision (Unanimous);Kevin MacDonald;3;5:00
Jennifer Maia;Roxanne Modafferi;win;UFC on ESPN 4 - Dos Anjos vs. Edwards;Jul / 20 / 2019;Decision (Unanimous);Jacob Montalvo;3;5:00
Jennifer Maia;Alexis Davis;win;UFC Fight Night 148 - Thompson vs. Pettis;Mar / 23 / 2019;Decision (Unanimous);Herb Dean;3;5:00
Jennifer Maia;Liz Carmouche;loss;UFC Fight Night 133 - Dos Santos vs. Ivanov;Jul / 14 / 2018;Decision (Unanimous);Tom Supnet;3;5:00
Jennifer Maia;Aga Niedzwiedz;win;Invicta FC 26 - Maia vs. Niedzwiedz;Dec / 08 / 2017;Decision (Unanimous);Greg Franklin;5;5:00
Jennifer Maia;Roxanne Modafferi;win;Invicta FC 19 - Maia vs. Modafferi;Sep / 23 / 2016;Decision (Split);Mike England;5;5:00
Jennifer Maia;Vanessa Porto;win;Invicta FC 16 - Hamasaki vs. Brown;Mar / 11 / 2016;Decision (Unanimous);Mark Smith;5;5:00
Jennifer Maia;Dayana Silva;win;Imortal FC 2 - Kamikaze;Dec / 13 / 2015;Decision (Majority);N/A;3;5:00
Jennifer Maia;Marta Souza;win;Samurai FC 12 - Hearts on Fire;Oct / 10 / 2015;TKO (Punches);Pedro Henrique;1;2:51
Jennifer Maia;Stephanie Bragayrac;win;Imortal FC 1 - The Invasion;Jun / 13 / 2015;KO (Knee);Roberto Thomaz;2;2:07
Jennifer Maia;DeAnna Bennett;loss;Invicta FC 10 - Waterson vs. Tiburcio;Dec / 05 / 2014;Decision (Unanimous);Joe Soliz;3;5:00
Jennifer Maia;Elaine Albuquerque;win;Talent MMA Circuit 11 - Sao Jose dos Pinhais 2014;Aug / 23 / 2014;Decision (Unanimous);Magno Wilson;3;5:00
Jennifer Maia;Mariana Morais;win;Talent MMA Circuit 9 - Sao Jose dos Pinhais 2014;May / 10 / 2014;Submission (Rear-Naked Choke);Roberto Thomaz;2;2:18
Jennifer Maia;Leslie Smith;loss;Invicta FC 6 - Cyborg vs. Coenen 2;Jul / 13 / 2013;Decision (Unanimous);John McCarthy;3;5:00
Jennifer Maia;Zoila Frausto;win;Invicta FC 5 - Penne vs. Waterson;Apr / 05 / 2013;Decision (Unanimous);John McCarthy;3;5:00
Jennifer Maia;Jessica Andrade;win;Samurai FC 9 - Water vs. Fire;Dec / 15 / 2012;Decision (Unanimous);N/A;3;5:00
Jennifer Maia;Sheila Gaff;loss;CWFC - Fight Night 4;Mar / 16 / 2012;KO (Punches);Rich Mitchell;1;0:10
Jennifer Maia;Tatiane Porfirio Aguiar;win;PF - Pink Fight;Jan / 29 / 2012;Submission (Armbar);N/A;2;1:17
Jennifer Maia;Vanessa Porto;loss;KMMAC - Kumite MMA Combate;Oct / 28 / 2011;Technical Submission (Armbar);Mario Yamasaki;2;3:55
