Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Raphael Pessoa;Carlos      Alexandre;win;NCE 16 - New Corpore Extreme 16: NCE Ladies;Jul / 15 / 2017;TKO (Punches);Alan Diogo;1;2:56
Raphael Pessoa;Luan Mendes Oliveira;win;Full Fight 1 - Full Fight Championship 1;Jun / 11 / 2017;TKO (Punches);N/A;1;0:48
Raphael Pessoa;Leonardo Alves Nascimento;win;NCE 13 - New Corpore Extreme 13;May / 13 / 2017;Decision (Unanimous);N/A;3;5:00
Raphael Pessoa;Fabio Marongiu;win;NCE 11 - New Corpore Extreme 11;Mar / 18 / 2017;TKO (Retirement);Willian Viana;2;5:00
Raphael Pessoa;Romulo Ismael;win;NCE 10 - New Corpore Extreme 10;Feb / 04 / 2017;Submission (Kimura);Marcos Barbosa;1;1:34
Raphael Pessoa;Bruno Luiz Nicolau;win;NCE 9 - New Corpore Extreme 9;Dec / 10 / 2016;KO;N/A;1;0:26
Ricardo Ramos;Luiz Eduardo Garagorri;win;UFC Fight Night 164 - Blachowicz vs. Jacare;Nov / 16 / 2019;Submission (Rear-Naked Choke);Camila Albuquerque;1;3:57
Ricardo Ramos;Journey Newson;win;UFC on ESPN 3 - Ngannou vs. Dos Santos;Jun / 29 / 2019;Decision (Unanimous);Travis Metteer;3;5:00
Ricardo Ramos;Said Nurmagomedov;loss;UFC Fight Night 144 - Assuncao vs. Moraes 2;Feb / 02 / 2019;TKO (Spinning Back Kick and Punches);Joao Claudio Soares;1;2:28
Ricardo Ramos;Kyung Ho Kang;win;UFC 227 - Dillashaw vs. Garbrandt 2;Aug / 04 / 2018;Decision (Split);Mike Beltran;3;5:00
Ricardo Ramos;Aiemann Zahabi;win;UFC 217 - Bisping vs. St. Pierre;Nov / 04 / 2017;KO (Spinning Back Elbow);Todd Anderson;3;1:58
Ricardo Ramos;Michinori Tanaka;win;UFC Fight Night 104 - Bermudez vs. Korean Zombie;Feb / 04 / 2017;Decision (Unanimous);Herb Dean;3;5:00
Ricardo Ramos;Alfred Khashakyan;win;NEF - Lookin' for a Fight;Aug / 05 / 2016;Submission (Rear-Naked Choke);N/A;2;2:10
Ricardo Ramos;Manny Vazquez;loss;LFC 51 - Legacy Fighting Championship 51;Feb / 05 / 2016;Submission (Rear-Naked Choke);Rocky Demier;1;1:45
Ricardo Ramos;Cody Walker;win;LFC 46 - Legacy Fighting Championship 46;Oct / 02 / 2015;Submission (Triangle Armbar);Birchie Stillwagoner;1;2:39
Ricardo Ramos;Justin Rader;win;LFC 41 - Legacy Fighting Championship 41;Apr / 03 / 2015;TKO (Punches);Don Turnage;1;0:32
Ricardo Ramos;Fabio Lima;win;MMASH - MMA Super Heroes 4;May / 30 / 2014;Submission (Triangle Choke);Alexandre Martins;3;1:49
Ricardo Ramos;Rafael Correa;win;Talent MMA Circuit 8 - Valinhos 2014;Apr / 12 / 2014;Submission (Rear-Naked Choke);Roberto Thomaz;1;2:38
Ricardo Ramos;Lucas Mascena;win;Talent MMA Circuit 5 - Campinas 2013;Nov / 23 / 2013;Submission (Armbar);Roberto Thomaz;1;1:59
Ricardo Ramos;Allan Nascimento;win;Elite FC 5 - Night of Champions;Oct / 05 / 2013;Decision (Unanimous);Roberto Thomaz;3;5:00
Ricardo Ramos;William Oliveira;win;Supreme FC - Supreme Fight Championship;Dec / 01 / 2012;TKO (Knee and Punches);Roberto Thomaz;1;0:30
Ricardo Ramos;Josivaldo Moreno;win;CTF - CT Fight;May / 19 / 2012;Submission (Triangle Choke);Roberto Thomaz;1;0:58
Steven Ray;Michael Johnson;win;UFC Fight Night 162 - Maia vs. Askren;Oct / 26 / 2019;Decision (Majority);Leon Roberts;3;5:00
Steven Ray;Leonardo Santos;loss;UFC Fight Night 153 - Gustafsson vs. Smith;Jun / 01 / 2019;KO (Punch);Marc Goddard;1;2:17
Steven Ray;Jessin Ayari;win;UFC Fight Night 138 - Oezdemir vs. Smith;Oct / 27 / 2018;Decision (Unanimous);Barry Gallant;3;5:00
Steven Ray;Kajan Johnson;loss;UFC Fight Night 127 - Werdum vs. Volkov;Mar / 17 / 2018;Decision (Split);Leon Roberts;3;5:00
Steven Ray;Paul Felder;loss;UFC Fight Night 113 - Nelson vs. Ponzinibbio;Jul / 16 / 2017;KO (Elbows);Grant Waterman;1;3:57
Steven Ray;Joe Lauzon;win;UFC Fight Night 108 - Swanson vs. Lobov;Apr / 22 / 2017;Decision (Majority);Dan Miragliotta;3;5:00
Steven Ray;Ross Pearson;win;UFC Fight Night 99 - Mousasi vs. Hall 2;Nov / 19 / 2016;Decision (Split);Leon Roberts;3;5:00
Steven Ray;Alan Patrick Silva Alves;loss;UFC Fight Night 95 - Cyborg vs. Lansberg;Sep / 24 / 2016;Decision (Unanimous);Mario Yamasaki;3;5:00
Steven Ray;Mickael Lebout;win;UFC Fight Night 76 - Holohan vs. Smolka;Oct / 24 / 2015;Decision (Unanimous);Leon Roberts;3;5:00
Steven Ray;Leonardo Mafra Texeira;win;UFC Fight Night 72 - Bisping vs. Leites;Jul / 18 / 2015;TKO (Punches);Marc Goddard;1;2:30
Steven Ray;Marcin Bandel;win;UFC Fight Night 64 - Gonzaga vs. Cro Cop 2;Apr / 11 / 2015;TKO (Punches);Leon Roberts;2;1:35
Steven Ray;Curt Warburton;win;CWFC 73 - Cage Warriors Fighting Championship 73;Nov / 01 / 2014;Submission (Rear-Naked Choke);Marc Goddard;2;2:00
Steven Ray;Curt Warburton;win;CWFC 69 - Super Saturday;Jun / 07 / 2014;Decision (Split);Marc Goddard;5;5:00
Steven Ray;Ivan Buchinger;loss;CWFC 63 - Cage Warriors Fighting Championship 63;Dec / 31 / 2013;Submission (Rear-Naked Choke);Marc Goddard;4;3:43
Steven Ray;Sean Carter;win;CWFC 60 - Cage Warriors Fighting Championship 60;Oct / 05 / 2013;Submission (Rear-Naked Choke);Marc Goddard;1;4:40
Steven Ray;Jason Ball;win;CWFC 60 - Cage Warriors Fighting Championship 60;Oct / 05 / 2013;Decision (Unanimous);Marc Goddard;2;5:00
Steven Ray;Curt Warburton;loss;BAMMA 12 - Wallhead vs. Veach;Mar / 09 / 2013;Decision (Unanimous);N/A;3;5:00
Steven Ray;Dale Hardiman;win;BAMMA 11 - Marshman vs. Foupa-Pokam;Dec / 01 / 2012;Decision (Unanimous);N/A;3;5:00
Steven Ray;Stu Barrs;win;Caledonian Combat 1 - The Gathering;Jul / 21 / 2012;TKO (Punches);N/A;2;3:37
Steven Ray;Qasim Shafiq;win;OT - On Top 5;Jun / 02 / 2012;Submission (Armbar);Andy Sledge;1;1:02
Steven Ray;Assan Njie;loss;CWFC - Fight Night 4;Mar / 16 / 2012;Submission (Guillotine Choke);Neil Hall;2;2:29
Steven Ray;Vaidas Valancius;win;OT - On Top 4;Feb / 25 / 2012;Submission (Rear-Naked Choke);N/A;1;2:41
Steven Ray;John Quinn;win;OT - On Top 3;Sep / 24 / 2011;KO (Punches);N/A;1;0:57
Steven Ray;Nicholas Musoke;loss;OT - On Top 2;Jun / 18 / 2011;Submission (Rear-Naked Choke);Marc Goddard;1;4:56
Steven Ray;Merv Mulholland;win;OT - On Top 2;Jun / 18 / 2011;Submission (Triangle Armbar);Marc Goddard;2;4:59
Steven Ray;Scott Ward;win;SFC 4 - Resolution;Apr / 17 / 2011;TKO (Punches);N/A;3;0:00
Steven Ray;Davey Parker;win;TC 39 - Total Combat 39;Mar / 12 / 2011;Submission (Arm-Triangle Choke);N/A;1;2:14
Steven Ray;Dan Hope;loss;H - Honour 4;Nov / 27 / 2010;Technical Submission (Armbar);N/A;1;0:00
Steven Ray;Mark Young;win;SFC 3 - Showdown;Oct / 10 / 2010;Submission (Heel Hook);N/A;1;0:00
Steven Ray;Vincent del Guerra;win;SFC 3 - Showdown;Oct / 10 / 2010;Decision (Unanimous);N/A;2;5:00
Steven Ray;Loic Marty;win;BatB - Brawl at the Bay;Jul / 25 / 2010;Submission (Brabo Choke);N/A;1;0:00
Steven Ray;Shaun Edmondson;win;SFC 2 - Retribution;Jun / 27 / 2010;KO (Punch);N/A;1;1:54
Alexander Romanov;Sergio Freitas;win;Eagles FC 11 - Eagles Fighting Championship 11;Feb / 16 / 2019;Submission;Denis Pocatilov;2;1
Alexander Romanov;Sultan Murtazaliev;win;Eagles FC 10 - Eagles Fighting Championship 10;Nov / 03 / 2018;TKO (Punches);Denis Pocatilov;3;2:17
Alexander Romanov;Virgil Zwicker;win;League S-70 - Plotforma S-70: 2018;Aug / 22 / 2018;Submission (Neck Crank);Valentin Tarasov;1;1:15
Alexander Romanov;Ion Grigore;win;Eagles FC 9 - Eagles Fighting Championship 9;May / 26 / 2018;Submission (Forearm Choke);Denis Pocatilov;3;3:54
Alexander Romanov;Alexander Stolyarov;win;Eagles FC 8 - Eagles Fighting Championship 8;Feb / 10 / 2018;TKO (Punches);Mariusz Domasat;1;0:36
Alexander Romanov;Ravshankhon Khusanov;win;Eagles FC 7 - Eagles Fighting Championship 7;Nov / 04 / 2017;TKO;Ivan Zavtone;1;1:37
Alexander Romanov;Yuri Gorbenko;win;Eagles FC 6 - Eagles Fighting Championship 6;Jun / 24 / 2017;Submission (Ezekiel Choke);Denis Pocatilov;1;3:01
Alexander Romanov;Evgeniy Golub;win;Eagles FC 5 - Eagles Fighting Championship 5;May / 20 / 2017;TKO (Punches);Denis Pocatilov;1;0:48
Alexander Romanov;Shota Betlemidze;win;ProFC Ukraine - Brave Hearts;Apr / 08 / 2017;Submission (Rear-Naked Choke);Igor Konvisher;1;4:40
Alexander Romanov;Andrey Burdiniuk;win;Eagles FC 4 - Eagles Fighting Championship 4;Feb / 18 / 2017;Submission;Denis Pocatilov;3;0:43
Alexander Romanov;Yuriy Protsenko;win;Eagles FC 3 - Eagles Fighting Championship 3;Nov / 19 / 2016;Submission (Rear-Naked Choke);Ivan Zavtone;1;0:50
Khalil Rountree;Ion Cutelaba;loss;UFC Fight Night 160 - Hermansson vs. Cannonier;Sep / 28 / 2019;TKO (Elbows);Marc Goddard;1;2:35
Khalil Rountree;Eryk Anders;win;UFC 236 - Holloway vs. Poirier;Apr / 13 / 2019;Decision (Unanimous);Blake Grice;3;5:00
Khalil Rountree;Johnny Walker;loss;UFC Fight Night 140 - Magny vs. Ponzinibbio;Nov / 17 / 2018;KO (Elbow);Fernando Portella;1;1:57
Khalil Rountree;Gokhan Saki;win;UFC 226 - Miocic vs. Cormier;Jul / 07 / 2018;TKO (Punches);Jason Herzog;1;1:36
Khalil Rountree;Michal Oleksiejczuk;NC;UFC 219 - Cyborg vs. Holm;Dec / 30 / 2017;No Contest (Overturned by NSAC);Herb Dean;3;5:00
Khalil Rountree;Paul Craig;win;UFC Fight Night 113 - Nelson vs. Ponzinibbio;Jul / 16 / 2017;KO (Punches);Leon Roberts;1;4:56
Khalil Rountree;Daniel Jolly;win;UFC Fight Night 104 - Bermudez vs. Korean Zombie;Feb / 04 / 2017;KO (Knee);Chris Reed;1;0:52
Khalil Rountree;Tyson Pedro;loss;UFC Fight Night 101 - Whittaker vs. Brunson;Nov / 26 / 2016;Submission (Rear-Naked Choke);Herb Dean;1;4:07
Khalil Rountree;Andrew Sanchez;loss;UFC  - The Ultimate Fighter 23 Finale;Jul / 08 / 2016;Decision (Unanimous);Herb Dean;3;5:00
Khalil Rountree;Justin Polendey;win;RFA 33 - Townsend vs. Chavez;Dec / 11 / 2015;KO (Punch);Milan Ayers;1;1:42
Khalil Rountree;Cameron Olson;win;RFA 25 - Lawrence vs. Toomer;Apr / 10 / 2015;Decision (Unanimous);Bobby Wombacher;3;5:00
Khalil Rountree;Blake Troop;win;RFA 21 - Juusola vs. Baghdad;Dec / 05 / 2014;KO (Punch);N/A;1;0:39
Khalil Rountree;Livingston Lukow;win;RFA 15 - Casey vs. Sanchez;Jun / 06 / 2014;Decision (Unanimous);Mike Beltran;3;5:00
Saparbek Safarov;Rodolfo Vieira;loss;UFC 248 - Adesanya vs. Romero;Mar / 07 / 2020;Submission (Arm-Triangle Choke);Jason Herzog;1;2:58
Saparbek Safarov;Nicolae Negumereanu;win;UFC Fight Night 147 - Till vs. Masvidal;Mar / 16 / 2019;Decision (Unanimous);Leon Roberts;3;5:00
Saparbek Safarov;Tyson Pedro;loss;UFC 221 - Romero vs. Rockhold;Feb / 10 / 2018;Submission (Kimura);Peter Hickmott;1;3:54
Saparbek Safarov;Gian Villante;loss;UFC Fight Night 102 - Lewis vs. Abdurakhimov;Dec / 09 / 2016;TKO (Punches);Keith Peterson;2;2:54
Saparbek Safarov;Rodney Wallace;win;WFCA 17 - Grand Prix Akhmat ;Apr / 09 / 2016;TKO (Corner Stoppage);Viktor Korneev;2;5:00
Saparbek Safarov;Giga Kukhalashvili;win;ProFC 54 - Challenge of Champions;Sep / 07 / 2014;Submission (Guillotine Choke);N/A;1;2:13
Saparbek Safarov;Valdas Pocevicius;win;BOS - Battle of Stars 1;Dec / 22 / 2012;TKO (Punches);Ashon Ashugyan;1;0:00
Saparbek Safarov;Igor Sliusarchuk;win;WUFC - Challenge of Champions;Dec / 24 / 2011;TKO (Punches);N/A;1;2:54
Saparbek Safarov;Igor Litoshik;win;M-1 Global - M-1 Ukraine European Battle;Jun / 04 / 2011;TKO (Punches);N/A;1;3:00
Saparbek Safarov;Adrien Mallebranche;win;M-1 Selection 2011 - European Tournament;Apr / 01 / 2011;TKO (Punch);Ashot Ashugyan;1;0:04
Saparbek Safarov;Vasily Klepikov;win;M-1 Selection Ukraine 2010 - The Finals;Feb / 12 / 2011;Submission (Rear-Naked Choke);N/A;1;1:18
Saparbek Safarov;Visampasha Mirzakhanov;win;LF - Legion Fight 5;Nov / 20 / 2010;TKO (Punches);N/A;1;0:49
Ovince St. Preux;Ben Rothwell;loss;UFC Fight Night 171 - Smith vs. Teixeira;May / 13 / 2020;Decision (Split);Dan Miragliotta;3;5:00
Ovince St. Preux;Michal Oleksiejczuk;win;UFC Fight Night 160 - Hermansson vs. Cannonier;Sep / 28 / 2019;Submission (Shoulder Choke);Leon Roberts;2;2:14
Ovince St. Preux;Nikita Krylov;loss;UFC 236 - Holloway vs. Poirier;Apr / 13 / 2019;Submission (Rear-Naked Choke);Blake Grice;2;2:30
Ovince St. Preux;Dominick Reyes;loss;UFC 229 - Nurmagomedov vs. McGregor;Oct / 06 / 2018;Decision (Unanimous);Dan Miragliotta;3;5:00
Ovince St. Preux;Tyson Pedro;win;UFC Fight Night 132 - Cerrone vs. Edwards;Jun / 23 / 2018;Submission (Straight Armbar);John Sharp;1;2:54
Ovince St. Preux;Ilir Latifi;loss;UFC on Fox 28 - Emmett vs. Stephens;Feb / 24 / 2018;Submission (Guillotine Choke);Jorge Alonso;1;3:48
Ovince St. Preux;Corey Anderson;win;UFC 217 - Bisping vs. St. Pierre;Nov / 04 / 2017;KO (Head Kick);Dan Miragliotta;3;1:25
Ovince St. Preux;Yushin Okami;win;UFC Fight Night 117 - St. Preux vs. Okami;Sep / 22 / 2017;Technical Submission (Shoulder Choke);Leon Roberts;1;1:50
Ovince St. Preux;Marcos Rogerio de Lima;win;UFC Fight Night 108 - Swanson vs. Lobov;Apr / 22 / 2017;Submission (Shoulder Choke);Dan Miragliotta;2;2:11
Ovince St. Preux;Volkan Oezdemir;loss;UFC Fight Night 104 - Bermudez vs. Korean Zombie;Feb / 04 / 2017;Decision (Split);Chris Reed;3;5:00
Ovince St. Preux;Jimi Manuwa;loss;UFC 204 - Bisping vs. Henderson 2;Oct / 08 / 2016;KO (Punches);Leon Roberts;2;2:38
Ovince St. Preux;Jon Jones;loss;UFC 197 - Jones vs. St. Preux;Apr / 23 / 2016;Decision (Unanimous);Herb Dean;5;5:00
Ovince St. Preux;Rafael Cavalcante;win;UFC Fight Night 82 - Hendricks vs. Thompson;Feb / 06 / 2016;Decision (Unanimous);Yves Lavigne;3;5:00
Ovince St. Preux;Glover Teixeira;loss;UFC Fight Night 73 - Teixeira vs. St. Preux;Aug / 08 / 2015;Technical Submission (Rear-Naked Choke);John McCarthy;3;3:10
Ovince St. Preux;Patrick Cummins;win;UFC on Fox 15 - Machida vs. Rockhold;Apr / 18 / 2015;KO (Punches);Dan Miragliotta;1;4:54
Ovince St. Preux;Mauricio Rua;win;UFC Fight Night 56 - Shogun vs. St. Preux;Nov / 08 / 2014;KO (Punches);Mario Yamasaki;1;0:34
Ovince St. Preux;Ryan Bader;loss;UFC Fight Night 47 - Bader vs. St. Preux;Aug / 16 / 2014;Decision (Unanimous);Dan Miragliotta;5;5:00
Ovince St. Preux;Ryan Jimmo;win;UFC 174 - Johnson vs. Bagautinov;Jun / 14 / 2014;Submission (Kimura);Kevin Dornan;2;2:10
Ovince St. Preux;Nikita Krylov;win;UFC 171 - Hendricks vs. Lawler;Mar / 15 / 2014;Technical Submission (Shoulder Choke);Dan Miragliotta;1;1:29
Ovince St. Preux;Cody Donovan;win;UFC Fight Night 26 - Shogun vs. Sonnen;Aug / 17 / 2013;KO (Punches);Herb Dean;1;2:07
Ovince St. Preux;Gian Villante;win;UFC 159 - Jones vs. Sonnen;Apr / 27 / 2013;Technical Decision (Majority);Kevin Mulhall;3;0:33
Ovince St. Preux;T.J. Cook;win;Strikeforce - Rousey vs. Kaufman;Aug / 18 / 2012;KO (Punch);Mike Beltran;3;0:20
Ovince St. Preux;Gegard Mousasi;loss;Strikeforce - Melendez vs. Masvidal;Dec / 17 / 2011;Decision (Unanimous);Steven Davis;3;5:00
Ovince St. Preux;Joe Cason;win;Strikeforce - Challengers 17;Jul / 22 / 2011;TKO (Submission to Punches);Kim Winslow;1;1:12
Ovince St. Preux;Ron Humphrey;win;Strikeforce - Challengers 13;Jan / 07 / 2011;Decision (Unanimous);Al Wichgers;3;5:00
Ovince St. Preux;Benji Radach;win;Strikeforce - Henderson vs. Babalu 2;Dec / 04 / 2010;Decision (Unanimous);Mike England;3;5:00
Ovince St. Preux;Antwain Britt;win;Strikeforce - Challengers 12;Nov / 19 / 2010;Decision (Unanimous);Houston Dorr;3;5:00
Ovince St. Preux;Jason Day;win;EFC 5 - Summer Rumble;Jul / 24 / 2010;KO (Punch);N/A;1;0:08
Ovince St. Preux;Claudio Cunha Godoy;win;Washington Combat - Battle of the Legends;May / 15 / 2010;TKO (Arm Injury);Mario Yamasaki;1;5:00
Ovince St. Preux;Chris Hawk;win;Strikeforce - Nashville;Apr / 17 / 2010;TKO (Punches);N/A;1;0:47
Ovince St. Preux;Brett Chism;win;GTOCF - GTO Cage Fights;Feb / 20 / 2010;TKO (Punches);Chris Mise;1;1:15
Ovince St. Preux;Virgil Zwicker;loss;TCC 1 - Top Combat Championship 1;Sep / 26 / 2009;TKO (Punches);Kevin Mulhall;2;0:46
Ovince St. Preux;Nik Fekete;loss;Vendetta Fighting Championship - A Night of Vengeance;Sep / 05 / 2009;Decision (Unanimous);N/A;2;5:00
Ovince St. Preux;Jonathan Smith;win;Vendetta Fighting Championship - A Night of Vengeance;Sep / 05 / 2009;Submission (Rear-Naked Choke);N/A;1;0:46
Ovince St. Preux;Ombey Mobley;win;XFC 8 - Regional Conflict;Apr / 25 / 2009;Submission (Calf Slicer);N/A;1;2:36
Ovince St. Preux;Robert Turner;win;XFC 7 - School of Hard Knox;Feb / 20 / 2009;KO (Head Kick);N/A;1;2:36
Ovince St. Preux;Ray Lizama;loss;SF 2 - Shark Fights 2;Dec / 13 / 2008;Decision (Unanimous);N/A;3;3:00
Ovince St. Preux;Rodney Wallace;loss;VFC 1 - Vengeance Fighting Championship 1;Sep / 27 / 2008;Decision (Unanimous);N/A;3;5:00
Gabriel Silva;Kyler Phillips;loss;UFC Fight Night 169 - Benavidez vs. Figueiredo;Feb / 29 / 2020;Decision (Unanimous);Dan Miragliotta;3;5:00
Gabriel Silva;Ray Borg;loss;UFC on ESPN 4 - Dos Anjos vs. Edwards;Jul / 20 / 2019;Decision (Unanimous);Dan Miragliotta;3;5:00
Gabriel Silva;Jake Heffernan;win;LFA 63 - Krantz vs. Patterson;Mar / 29 / 2019;KO (Punches);Aaron Menard;1;1:23
Gabriel Silva;Kamil Lebkowski;win;FEN 16 - Warsaw Reloaded;Mar / 11 / 2017;Decision (Unanimous);Piotr Michalak;3;5:00
Gabriel Silva;Wendel Araujo Rocha;win;FTF 12 - Face To Face 12 - Rizzo vs. Flores;Sep / 12 / 2015;Decision (Unanimous);N/A;3;5:00
Gabriel Silva;Willian Vogado Fernandes;win;JF - Jungle Fight 67;Mar / 29 / 2014;Decision (Split);Douglas Aires;3;5:00
Gabriel Silva;Vinicius Baraldo;win;JF - Jungle Fight 50;Apr / 06 / 2013;TKO (Punches);Flavio Almendra;1;0:28
Gabriel Silva;Diego Rodrigues Pralon;win;Fenix Combat Mixed - FC1 Combat MMA;Mar / 31 / 2012;KO (Punches);N/A;1;2:14
Gabriel Silva;Gabriel Sartorio;win;SFL - Super Fight Linhares;Dec / 12 / 2011;Decision (Unanimous);N/A;3;5:00
Gabriel Silva;Renato Fernandes;win;BCMMA - Beginners Championship MMA;Nov / 26 / 2011;Submission (Triangle Choke);N/A;2;3:57
Dmitry Smoliakov;Hasan Yousefi;loss;FNG 94 - Fight Nights Global 94;Oct / 12 / 2019;Decision (Unanimous);Dmitry Valuevich;3;5:00
Dmitry Smoliakov;Greg Hardy;loss;UFC Fight Night 150 - Jacare vs. Hermansson;Apr / 27 / 2019;TKO (Punches);Keith Peterson;1;2:15
Dmitry Smoliakov;Evgeniy Bova;win;FCA - Kaliningrad Challenge;Jan / 25 / 2019;Submission (Kimura);Alexander Zubachev;1;2:34
Dmitry Smoliakov;Cyril Asker;loss;UFC Fight Night 103 - Rodriguez vs. Penn;Jan / 15 / 2017;TKO (Punches and Elbows);Al Guinee;1;2:41
Dmitry Smoliakov;Luis Henrique Barbosa de Oliveira;loss;UFC on Fox 20 - Holm vs. Shevchenko;Jul / 23 / 2016;Submission (Rear-Naked Choke);Rob Madrigal;2;3:58
Dmitry Smoliakov;Sergey Grebenec;win;IMAT - Smolyakov vs. Grebenec;Dec / 12 / 2015;Submission (Kimura);Andrey Davidov;1;0:27
Dmitry Smoliakov;Lukas Batovsky;win;Baltic Fights - Baltic Challenge 8;Dec / 05 / 2015;TKO (Punches);Danil Bakhtiyarov;1;0:18
Dmitry Smoliakov;Flavio Pecoraro;win;IMAT - Smolyakov vs. Pecoraro;Dec / 27 / 2014;TKO (Punches);Andrey Davidov;1;2:53
Dmitry Smoliakov;Robert Boryan;win;ProFC 55 - Kraniotakes vs. Kudin;Oct / 19 / 2014;Submission (Brabo Choke);N/A;1;1:33
Dmitry Smoliakov;Arsen Mensitov;win;ProFC 54 - Challenge of Champions;Sep / 07 / 2014;Submission (Triangle Choke);N/A;1;0:40
Dmitry Smoliakov;Viktor Smirnov;win;RFP - West Fight 5;Jul / 27 / 2013;TKO (Punches);Oleg Saievych;1;3:37
Dmitry Smoliakov;Alexey Stepanov;win;GFC 3 - Gladiators Fighting Championship;Jul / 12 / 2013;TKO (Punches);Daniil Bukhtiyarov;1;0:56
Dmitry Smoliakov;Pierre Louis Digonal;win;ProFC 46 - Grand Prix Final;Feb / 03 / 2013;Submission (Guillotine Choke);Andrei Kovalev;1;3:07
Sergey Spivak;Marcin Tybura;loss;UFC Fight Night 169 - Benavidez vs. Figueiredo;Feb / 29 / 2020;Decision (Unanimous);Bill Bookwalter;3;5:00
Sergey Spivak;Tai Tuivasa;win;UFC 243 - Whittaker vs. Adesanya;Oct / 05 / 2019;Technical Submission (Arm-Triangle Choke);Steve Perceval;2;3:14
Sergey Spivak;Walt Harris;loss;UFC Fight Night 151 - Iaquinta vs. Cowboy;May / 04 / 2019;TKO (Punches);Jerin Valel;1;0:50
Sergey Spivak;Tony Lopez;win;WWFC 12 - World Warriors Fighting Championship 12;Sep / 29 / 2018;Submission (Neck Crank);Volodymyr Shemarov;1;4:12
Sergey Spivak;Ivo Cuk;win;WWFC 10 - World Warriors Fighting Championship 10;Mar / 24 / 2018;TKO (Punches);Vladimir Shemarov;1;2:21
Sergey Spivak;Travis Fulton;win;WWFC - Cage Encounter 7;Jun / 14 / 2017;Submission (Rear-Naked Choke);Vladimir Shemarov;1;2:50
Sergey Spivak;Luke Morton;win;WWFC - Cage Encounter 6;Mar / 29 / 2017;KO (Punches);Vladimir Shemarov;1;0:40
Sergey Spivak;Artem Cherkov;win;Eagles FC - Eagles Fighting Championship;Feb / 27 / 2016;KO (Head Kick);Denis Pokatilov;1;1:52
Sergey Spivak;Dimitriy Mikutsa;win;N1 Pro - MMA Nomad;Oct / 04 / 2015;Submission (Armbar);Ivan Tytyk;2;4:34
Sergey Spivak;Yuri Gorbenko;win;WWFC - Ukraine Selection 4;Jan / 31 / 2015;Submission (Armbar);Vitaliy Vovk;1;3:38
Sergey Spivak;Evgeniy Bova;win;WWFC - Ukraine Selection 1;Nov / 19 / 2014;Submission (Kimura);N/A;1;0:00
Sergey Spivak;Andrey Serebrianikov;win;RFP - Galychyny Cup;Sep / 28 / 2014;TKO (Punches);Sergey Sokha;1;4:31
J.J. Aldrich;Sabina Mazo;loss;UFC 246 - McGregor vs. Cerrone;Jan / 18 / 2020;Decision (Split);Chris Tognoni;3;5:00
J.J. Aldrich;Lauren Mueller;win;UFC Fight Night 161 - Jedrzejczyk vs. Waterson;Oct / 12 / 2019;Decision (Unanimous);Kevin MacDonald;3;5:00
J.J. Aldrich;Maycee Barber;loss;UFC Fight Night 148 - Thompson vs. Pettis;Mar / 23 / 2019;TKO (Knees and Punches);Keith Peterson;2;3:01
J.J. Aldrich;Polyana Viana;win;UFC 227 - Dillashaw vs. Garbrandt 2;Aug / 04 / 2018;Decision (Unanimous);Herb Dean;3;5:00
J.J. Aldrich;Danielle Taylor;win;UFC Fight Night 124 - Stephens vs. Choi;Jan / 14 / 2018;Decision (Unanimous);Keith Peterson;3;5:00
J.J. Aldrich;Chanmi Jeon;win;UFC Fight Night 110 - Hunt vs. Lewis;Jun / 10 / 2017;Decision (Unanimous);Neil Swailes;3;5:00
J.J. Aldrich;Juliana Lima;loss;UFC Fight Night 102 - Lewis vs. Abdurakhimov;Dec / 09 / 2016;Decision (Unanimous);Keith Peterson;3;5:00
J.J. Aldrich;Lynn Alvarez;win;Invicta FC 20 - Evinger vs. Kunitskaya;Nov / 18 / 2016;Decision (Unanimous);Greg Franklin;3;5:00
J.J. Aldrich;Kathina Lowe;win;FCF - Freestyle Cage Fighting 53;Sep / 17 / 2016;TKO (Punches);Kevin Nix;1;3:01
J.J. Aldrich;Rosa Acevedo;win;Invicta FC 14 - Evinger vs. Kianzad;Sep / 12 / 2015;KO (Knees);Mike England;1;2:24
J.J. Aldrich;Jamie Moyle;loss;Invicta FC 11 - Cyborg vs. Tweet;Feb / 27 / 2015;Technical Submission (Rear-Naked Choke);Herb Dean;1;2:20
J.J. Aldrich;Delaney Owen;win;Invicta FC 8 - Waterson vs. Tamada;Sep / 06 / 2014;Decision (Unanimous);Mike England;3;5:00
Jessica-Rose Clark;Pannie Kianzad;loss;UFC Fight Night 163 - Magomedsharipov vs. Kattar;Nov / 09 / 2019;Decision (Unanimous);Rich Mitchell;3;5:00
Jessica-Rose Clark;Jessica Eye;loss;UFC Fight Night 132 - Cerrone vs. Edwards;Jun / 23 / 2018;Decision (Unanimous);Steve Perceval;3;5:00
Jessica-Rose Clark;Paige VanZant;win;UFC Fight Night 124 - Stephens vs. Choi;Jan / 14 / 2018;Decision (Unanimous);Mario Yamasaki;3;5:00
Jessica-Rose Clark;Bec Rawlings;win;UFC Fight Night 121 - Werdum vs. Tybura;Nov / 18 / 2017;Decision (Split);John Sharp;3;5:00
Jessica-Rose Clark;Carina Damm;win;Titan FC 45 - Araujo vs. Capitulino;Aug / 18 / 2017;Decision (Split);Russ Greenberg;3;5:00
