Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Julianna Pena;Nicco Montano;win;UFC Fight Night 155 - De Randamie vs. Ladd;Jul / 13 / 2019;Decision (Unanimous);Josh Rosenthal;3;5:00
Julianna Pena;Valentina Shevchenko;loss;UFC on Fox 23 - Shevchenko vs. Pena;Jan / 28 / 2017;Submission (Armbar);Herb Dean;2;4:29
Julianna Pena;Cat Zingano;win;UFC 200 - Tate vs. Nunes;Jul / 09 / 2016;Decision (Unanimous);Herb Dean;3;5:00
Julianna Pena;Jessica Eye;win;UFC 192 - Cormier vs. Gustafsson;Oct / 03 / 2015;Decision (Unanimous);Frank Collazo;3;5:00
Julianna Pena;Milana Dudieva;win;UFC Fight Night 63 - Mendes vs. Lamas;Apr / 04 / 2015;TKO (Punches and Elbows);Keith Peterson;1;3:59
Julianna Pena;Jessica Rakoczy;win;UFC - The Ultimate Fighter 18 Finale;Nov / 30 / 2013;TKO (Punches);Mario Yamasaki;1;4:59
Julianna Pena;DeAnna Bennett;loss;Showdown Fights 10 - Collard vs. Clements;Feb / 08 / 2013;Decision (Unanimous);Herb Dean;3;5:00
Julianna Pena;Sarah Moras;loss;COTC - Conquest of the Cage 11;Apr / 19 / 2012;TKO (Doctor Stoppage);Anthony Hamlett;2;5:00
Julianna Pena;Rachael Swatez;win;COTC - Conquest of the Cage 10;Dec / 15 / 2011;Submission (Guillotine Choke);Anthony Hamlett;2;0:17
Julianna Pena;Stephanie Webber;win;CS - CageSport 8;Dec / 05 / 2009;Submission (Armbar);N/A;2;2:54
Julianna Pena;Robyn Dunne;win;IFC - Caged Combat;Aug / 15 / 2009;TKO (Punches);N/A;1;N/A
Julianna Pena;Raylene Harvey;win;EF - ExciteFight;May / 09 / 2009;Submission (Rear-Naked Choke);N/A;1;2:58
